# ID_1        photz   SED   chisq       RA            Dec          rflux      f814w     f105w        f140w          ch1      ech1       
  9.000092    0.8     7     62.65       175.6991371   15.466047    2.5312     6.5013    10.68268     15.275668      32.556   1.4259     
  9.000093    1.05    3     69.96       175.6751699   15.4660292   0.31957    0.0       0.84636986   0.9334266      0.0      1.4258538  
  9.000094    0.49    8     76.12       175.706575    15.4657332   0.43323    0.0       0.7699813    1.260086       0.0      1.4258538  
  9.000095    0.93    1     212.18      175.6833769   15.4655326   0.2582     0.0       1.9762423    2.8615425      0.0      1.4258538  
  9.000096    0.9     1     32.82       175.6685444   15.4656024   0.0        0.0       0.5373784    0.7141019      0.0      1.4258538  
  9.000097    0.13    8     3624.8      175.6938604   15.4652291   11.872     9.4068    17.514599    20.220886      9.462    1.4259     
  9.000098    0.94    8     521.96      175.6932804   15.4647493   0.0        1.2464    2.051919     2.3090863      0.0      1.4258538  
  9.000099    0.26    8     9.32        175.6986553   15.465521    0.25813    0.21938   0.38554952   0.44849765     0.0      1.4258538  
  9.000100    1.01    8     79.02       175.7061037   15.4654382   0.0        0.0       0.57985604   0.5463113      0.0      1.4258538  
  9.000101    1.06    1     5.5         175.6982845   15.4654354   0.0        0.0       0.29061645   0.4992524      0.0      1.4258538  
  9.000102    0.51    8     12.9        175.7012077   15.4654477   0.19304    0.0       0.21865538   0.23476869     0.0      1.4258538  
  9.000103    1.12    7     104.99      175.7026883   15.4649909   0.59786    0.80857   3.4853003    5.1760707      9.9364   1.4259     
  9.000104    0.1     8     3.55        175.7087473   15.4651148   0.45713    0.67372   0.7809086    0.90782094     0.0      1.4258538  
  9.000105    0.96    8     37.67       175.6685664   15.4650929   0.0        0.0       0.34891543   0.26331776     0.0      1.4258538  
  9.000106    1.08    8     86.78       175.6968372   15.4648038   0.22607    0.77161   1.8431479    2.3366852      0.0      1.4258538  
  9.000107    0.92    8     191.16      175.6687064   15.4647841   0.0        0.72624   1.1725198    1.1219156      0.0      1.4258538  
  9.000108    0.74    1     41.3        175.6941454   15.464708    0.0        0.57884   0.5752812    0.8564069      0.0      1.4258538  
  9.000109    0.9     8     117.79      175.6817443   15.4644175   1.3424     3.0036    4.860044     6.0858355      0.0      1.4258538  
  9.000110    1.02    8     641.0       175.6687528   15.4640898   0.0        0.39697   2.0041037    2.0879505      0.0      1.4258538  
  9.000111    0.92    8     93.74       175.7022548   15.4642918   0.0        0.0       0.44140798   0.2413016      0.0      1.4258538  
  9.000112    0.89    1     4.38        175.7057899   15.4642943   0.0        0.0       0.18912989   0.2457198      0.0      1.4258538  
  9.000113    0.98    7     111.33      175.7034338   15.4641419   0.32092    0.0       1.2729173    2.007429       0.0      1.4258538  
  9.000114    0.84    1     36.97       175.6848796   15.4640931   0.0        0.36058   0.62523055   0.7890785      0.0      1.4258538  
  9.000115    0.12    8     257.95      175.6858983   15.4638656   2.1823     2.6206    3.104561     3.42547        0.0      1.4258538  
  9.000116    0.2     8     1403.5      175.6856507   15.4633911   12.837     18.576    24.319813    30.971355      19.82    1.4259     
