# ID        RA            DEC           z      Mag    Int_Pz    Rad(')   Rank
09.000013   175.7062623  +15.4714645    1.21   99.00  0.424     1.60     199
09.000369   175.6834149  +15.4516944    0.96   99.00  0.222     0.26     197
09.000365   175.6922587  +15.4523795    1.04   99.00  0.219     0.26     197
09.000525   175.6785949  +15.4430064    1.12   99.00  0.357     0.74     197
09.000389   175.6970823  +15.4512327    1.03   99.00  0.319     0.53     197
09.000322   175.6783669  +15.4543033    1.05   99.00  0.327     0.58     196
09.000027   175.6876317  +15.4696300    1.10   99.00  0.390     1.09     196
09.000418   175.6808157  +15.4502477    1.02   99.00  0.279     0.42     193
09.000090   175.7048794  +15.4659210    0.74   23.58  0.094     1.31     192
09.000376   175.6779418  +15.4517054    1.03   99.00  0.316     0.58     191
09.000496   175.6791661  +15.4450918    1.04   99.00  0.325     0.63     191
09.000249   175.6827414  +15.4570416    1.02   99.00  0.279     0.45     189
09.000274   175.6930748  +15.4562234    1.00   99.00  0.266     0.42     188
09.000127   175.7081111  +15.4632830    1.33   99.00  0.383     1.37     186
09.000136   175.6740272  +15.4627910    1.09   99.00  0.363     1.06     186
09.000258   175.6884531  +15.4568076    0.91   99.00  0.226     0.33     186
09.000608   175.6838933  +15.4374304    0.43   24.73  0.086     0.87     185
09.000079   175.6787968  +15.4668643    1.12   99.00  0.361     1.07     185
09.000410   175.6727113  +15.4506203    0.44   24.76  0.086     0.88     185
09.000478   175.6874258  +15.4463243    1.07   99.00  0.211     0.31     184
09.000466   175.6911183  +15.4471868    0.89   99.00  0.210     0.31     182
09.000425   175.6819320  +15.4496954    1.13   99.00  0.230     0.36     181
09.000257   175.6857261  +15.4568411    1.09   99.00  0.225     0.35     181
09.000084   175.6920233  +15.4664407    1.10   99.00  0.340     0.93     181
09.000644   175.6744956  +15.4353016    1.23   99.00  0.361     1.24     180
09.000188   175.6837049  +15.4599360    1.04   99.00  0.284     0.57     179
09.000432   175.6931782  +15.4493457    0.98   99.00  0.210     0.33     179
09.000250   175.6868765  +15.4570712    0.92   99.00  0.217     0.35     179
09.000419   175.7010976  +15.4502227    1.07   99.00  0.315     0.76     179
09.000364   175.6939840  +15.4523094    1.14   99.00  0.220     0.35     179
09.000415   175.6963420  +15.4505012    0.97   99.00  0.262     0.49     178
09.000450   175.6954005  +15.4484396    0.96   99.00  0.256     0.47     178
09.000208   175.6939515  +15.4588611    0.99   99.00  0.276     0.57     176
09.000225   175.6944979  +15.4582441    1.01   99.00  0.274     0.56     176
09.000019   175.7036224  +15.4704904    1.07   99.00  0.362     1.46     176
09.000237   175.6916436  +15.4573785    0.93   99.00  0.235     0.42     175
09.000413   175.6834869  +15.4505689    0.66   99.00  0.165     0.26     175
09.000202   175.6971601  +15.4590723    1.12   99.00  0.296     0.71     174
09.000194   175.6866993  +15.4595940    0.22   24.89  0.064     0.50     174
09.000083   175.6762207  +15.4665244    1.05   99.00  0.338     1.13     174
09.000303   175.6803412  +15.4550754    1.17   99.00  0.251     0.49     173
09.000465   175.6836415  +15.4472340    0.97   99.00  0.205     0.35     173
09.000138   175.6933877  +15.4628812    1.05   99.00  0.299     0.76     172
09.000314   175.6970076  +15.4546101    1.21   99.00  0.265     0.56     172
09.000462   175.6801858  +15.4473489    0.98   99.00  0.252     0.51     172
09.000414   175.6840625  +15.4505242    0.46   99.00  0.138     0.23     172
09.000547   175.6846775  +15.4408423    1.18   99.00  0.282     0.66     172
09.000072   175.6767108  +15.4669615    1.09   99.00  0.327     1.14     169
09.000503   175.7110866  +15.4445466    0.45   25.39  0.087     1.40     168
09.000471   175.6926937  +15.4468252    1.09   99.00  0.205     0.39     167
