# ID        RA            DEC           z      Mag    Int_Pz    Rad(')   Rank
2824.000000   175.7130884  15.4642885    1.02   23.69  0.372     1.65     655
2708.000000   175.7273436  15.4642247    1.02   23.80  0.378     2.41     654
3612.000000   175.6621061  15.4487681    1.12   25.89  0.403     1.50     652
4023.000000   175.6849786  15.4409127    1.01   22.59  0.335     0.65     651
5743.000000   175.6705691  15.4010987    1.21   26.64  0.423     3.18     649
1069.000000   175.6789486  15.4951052    1.29   24.12  0.381     2.67     649
2222.000000   175.7184534  15.4732394    1.04   24.65  0.386     2.20     647
904.000000   175.7155374  15.4983395    1.35   24.14  0.381     3.24     645
2577.000000   175.6491068  15.4668568    1.18   27.15  0.424     2.43     643
4010.000000   175.7007441  15.4417741    1.32   24.70  0.370     0.94     643
3568.000000   175.7007106  15.4470037    1.23   24.45  0.361     0.78     641
2673.000000   175.7036824  15.4642599    1.02   23.93  0.361     1.19     639
1619.000000   175.6988627  15.4847819    1.27   25.21  0.388     2.10     637
4258.000000   175.7266396  15.4360898    1.25   25.70  0.396     2.42     635
4334.000000   175.678942  15.4351627    1.21   25.89  0.386     1.10     634
4159.000000   175.6948543  15.4379279    1.00   23.02  0.339     0.90     634
5127.000000   175.7202217  15.4184425    1.35   24.44  0.376     2.72     632
4600.000000   175.7333543  15.4278535    1.32   26.64  0.408     2.98     628
4245.000000   175.7276702  15.4365464    1.29   25.28  0.385     2.47     627
1806.000000   175.6638757  15.4791341    1.32   24.01  0.364     2.17     627
1803.000000   175.6565173  15.4857417    1.24   22.40  0.340     2.75     624
4404.000000   175.7332984  15.4308236    1.06   25.32  0.383     2.90     621
3235.000000   175.7129747  15.4584855    1.05   23.98  0.354     1.51     619
3663.000000   175.7143029  15.4453481    1.35   24.53  0.362     1.57     618
1758.000000   175.7006851  15.4823625    1.20   24.37  0.363     2.00     618
4627.000000   175.7299074  15.426173    1.08   21.94  0.330     2.86     617
2262.000000   175.6569101  15.4779865    1.19   26.79  0.399     2.40     614
4953.000000   175.6707412  15.4232733    1.15   27.15  0.398     1.96     609
2408.000000   175.6688207  15.4708517    1.02   24.61  0.358     1.61     609
3845.000000   175.6994641  15.4488051    1.36   23.25  0.321     0.68     608
1854.000000   175.6709175  15.4802698    1.08   25.82  0.378     1.99     608
2599.000000   175.6993961  15.4661316    0.98   21.91  0.310     1.11     604
3889.000000   175.7427095  15.4430361    1.32   26.12  0.384     3.21     602
3254.000000   175.6483383  15.4513061    1.18   24.01  0.349     2.29     601
5104.000000   175.7136819  15.4212498    1.07   26.51  0.385     2.34     600
1909.000000   175.6380471  15.4790847    1.11   22.80  0.334     3.33     600
5189.000000   175.7121355  15.4169027    1.02   23.54  0.342     2.50     599
