# ID    RA            DEC          photz   Mag     Int_Pz   Rad(_)   Rank   r      zband   c1      c2      sed  
  382   175.6589959   15.5086072   1.43    99.0    0.221    3.82     101    0.0    0.0     0.0     0.22    0    
  383   175.6585214   15.508498    1.43    99.0    0.221    3.83     101    0.0    0.0     0.0     0.87    0    
  384   175.6787565   15.5086391   0.85    99.0    0.166    3.48     80     0.0    0.0     0.0     0.0     0    
  386   175.6547092   15.5084541   0.85    99.0    0.166    3.93     79     0.0    0.0     0.0     0.0     0    
  391   175.6590699   15.5160137   2.49    99.0    0.0      4.22     11     0.0    0.0     1.05    1.25    0    
  396   175.6873913   15.5084622   0.85    99.0    0.166    3.42     80     0.0    0.0     0.0     0.0     0    
  400   175.6716497   15.5162237   0.85    99.0    0.166    4.0      78     0.0    0.0     0.0     0.0     0    
  401   175.6823972   15.508404    0.85    99.0    0.166    3.44     80     0.0    0.0     0.0     0.0     0    
  402   175.6951809   15.5082077   1.43    99.0    0.221    3.43     103    0.0    0.0     0.0     0.91    0    
  403   175.6953395   15.5079617   2.7     99.0    0.0      3.42     13     0.0    0.0     0.32    0.42    0    
  405   175.6756462   15.5082305   2.66    99.0    0.001    3.48     13     0.0    0.0     0.89    1.29    0    
  410   175.6836181   15.5084519   1.43    99.0    0.22     3.43     102    0.0    0.0     0.0     0.08    0    
  412   175.7053916   15.5081576   1.43    99.0    0.221    3.55     102    0.0    0.0     0.0     0.13    0    
  413   175.690043    15.508068    0.85    99.0    0.166    3.4      80     0.0    0.0     0.0     0.0     0    
  414   175.6733636   15.5079831   1.43    99.0    0.221    3.5      102    0.0    0.0     0.0     0.78    0    
  416   175.6914365   15.5080586   0.85    99.0    0.166    3.41     80     0.0    0.0     0.0     0.0     0    
  419   175.6728156   15.5078957   0.85    99.0    0.166    3.5      80     0.0    0.0     0.0     0.0     0    
  420   175.7020526   15.5076289   1.43    99.0    0.221    3.47     102    0.0    0.0     0.0     1.77    0    
  424   175.7060362   15.507831    0.85    99.0    0.166    3.54     80     0.0    0.0     0.0     0.0     0    
  429   175.6921212   15.5075984   1.43    99.0    0.22     3.38     102    0.0    0.0     0.02    2.63    0    
  432   175.6576832   15.5078144   0.85    99.0    0.166    3.81     79     0.0    0.0     0.03    0.03    0    
  435   175.6970813   15.5073176   1.33    27.15   0.233    3.4      357    0.0    0.05    0.0     0.83    0    
  437   175.6975011   15.5067912   0.81    24.79   0.174    3.37     294    0.0    0.44    3.02    0.0     0    
  440   175.6927804   15.5059542   1.43    99.0    0.22     3.29     103    0.0    0.0     0.12    7.66    0    
  442   175.6932735   15.506419    2.73    99.0    0.0      3.32     14     0.02   0.0     13.18   17.7    0    
  443   175.6610501   15.5073019   0.85    99.0    0.166    3.7      79     0.0    0.0     0.0     0.0     0    
  447   175.691522    15.5071192   1.53    99.0    0.165    3.35     80     0.0    0.0     0.45    1.77    0    
  449   175.661719    15.5071819   1.43    99.0    0.221    3.67     102    0.0    0.0     0.0     0.13    0    
  451   175.6907304   15.5068444   1.64    99.0    0.043    3.33     31     0.0    0.0     0.81    1.56    0    
  452   175.6840375   15.5077316   1.48    99.0    0.205    3.39     96     0.0    0.0     0.21    1.61    0    
  453   175.6806338   15.5071375   0.85    99.0    0.166    3.37     81     0.0    0.0     0.0     0.0     0    
  455   175.6949789   15.5066521   0.87    26.51   0.188    3.34     297    0.01   0.09    1.56    0.0     0    
  456   175.6658925   15.5070654   1.43    99.0    0.221    3.58     102    0.0    0.0     0.0     0.39    0    
  457   175.6671495   15.5071101   0.85    99.0    0.166    3.55     80     0.0    0.0     0.0     0.0     0    
  458   175.6923175   15.5070592   1.43    99.0    0.221    3.35     103    0.0    0.0     0.0     1.07    0    
  461   175.7062214   15.506927    1.45    99.0    0.216    3.5      100    0.0    0.0     0.15    2.36    0    
  462   175.706681    15.5056595   1.43    99.0    0.221    3.43     103    0.0    0.0     0.0     0.69    0    
  463   175.706555    15.5067875   1.43    99.0    0.221    3.49     102    0.0    0.0     0.0     1.13    0    
  466   175.707583    15.5068198   1.43    99.0    0.221    3.51     102    0.0    0.0     0.0     0.96    0    
  467   175.6581691   15.5067489   1.46    99.0    0.212    3.74     98     0.0    0.0     0.09    0.97    0    
  468   175.6875808   15.5068069   0.85    99.0    0.166    3.33     81     0.0    0.0     0.0     0.0     0    
  470   175.651828    15.5066204   1.61    99.0    0.072    3.92     41     0.0    0.0     1.94    4.29    0    
  475   175.7013368   15.5063422   0.82    24.45   0.177    3.39     303    0.0    0.6     4.49    0.0     0    
  478   175.6571326   15.5057935   1.43    99.0    0.221    3.72     102    0.0    0.0     0.0     0.35    0    
  480   175.6929818   15.516332    1.43    99.0    0.221    3.91     101    0.0    0.0     0.0     0.41    0    
  484   175.708895    15.5064991   0.85    99.0    0.166    3.52     80     0.0    0.0     0.0     0.0     0    
  486   175.6666273   15.5063232   2.69    99.0    0.0      3.52     13     0.0    0.0     0.37    0.52    0    
  488   175.6913564   15.5062985   0.85    99.0    0.166    3.3      81     0.0    0.0     0.0     0.0     0    
  489   175.6912311   15.5061522   0.85    99.0    0.166    3.29     81     0.0    0.0     0.0     0.0     0    
  490   175.7045685   15.5062961   1.43    99.0    0.221    3.43     103    0.0    0.0     0.0     0.89    0    
  491   175.6576337   15.5058602   1.43    99.0    0.221    3.71     102    0.0    0.0     0.0     0.54    0    
  493   175.7054777   15.5061542   1.42    99.0    0.221    3.44     103    0.0    0.0     0.0     0.05    0    
  495   175.6793004   15.5063078   0.85    99.0    0.166    3.33     81     0.0    0.0     0.0     0.0     0    
  498   175.7005188   15.5056619   1.41    26.3    0.237    3.34     374    0.0    0.11    0.33    2.09    0    
  499   175.7007397   15.5060036   0.74    24.72   0.141    3.36     242    0.0    0.47    1.05    0.0     0    
  500   175.7021083   15.5050238   1.4     26.79   0.228    3.32     354    0.0    0.07    0.0     2.47    0    
  502   175.7013787   15.5057473   0.8     24.26   0.167    3.35     289    0.0    0.72    3.91    0.26    0    
  507   175.7089624   15.5059893   1.43    99.0    0.221    3.49     102    0.0    0.0     0.0     0.77    0    
  508   175.6732342   15.5058892   1.52    99.0    0.171    3.38     83     0.0    0.0     0.33    1.38    0    
  511   175.6978416   15.5055601   0.89    25.54   0.206    3.3      336    0.0    0.22    2.33    0.24    0    
  515   175.6845593   15.5054953   1.43    99.0    0.221    3.25     103    0.0    0.0     0.0     0.32    0    
  519   175.6521157   15.5056924   1.43    99.0    0.221    3.86     101    0.0    0.0     0.0     0.37    0    
  520   175.666773    15.5056897   1.62    99.0    0.056    3.48     36     0.0    0.0     0.63    1.29    0    
  521   175.6994595   15.506663    0.73    24.27   0.143    3.38     249    0.0    0.71    0.86    0.0     0    
  523   175.7103675   15.5056467   0.85    99.0    0.166    3.5      80     0.0    0.0     0.0     0.0     0    
  527   175.654928    15.5051159   2.5     99.0    0.0      3.75     12     0.0    0.0     1.34    1.6     0    
  529   175.6961695   15.5054538   0.85    99.0    0.166    3.28     81     0.0    0.0     0.0     0.0     0    
  531   175.6564224   15.5054048   0.85    99.0    0.166    3.72     79     0.0    0.0     0.0     0.0     0    
  532   175.6920526   15.5053915   1.43    99.0    0.221    3.25     103    0.0    0.0     0.0     1.42    0    
  533   175.6559823   15.505311    0.96    99.0    0.195    3.73     91     0.0    0.0     0.02    0.0     0    
  535   175.7055316   15.505259    0.78    26.2    0.156    3.39     252    0.0    0.12    0.56    0.0     0    
  537   175.6913985   15.5052399   1.43    99.0    0.221    3.24     103    0.0    0.0     0.0     0.3     0    
  541   175.7035856   15.5040578   1.25    26.4    0.571    3.29     879    0.0    0.1     1.46    1.2     0    
  542   175.7035093   15.5045938   1.43    99.0    0.221    3.32     103    0.0    0.0     0.0     0.12    0    
  549   175.7036878   15.5029705   1.64    99.0    0.046    3.23     33     0.0    0.0     1.1     2.15    0    
  552   175.7098273   15.5054826   0.85    99.0    0.166    3.48     80     0.0    0.0     0.0     0.0     0    
  553   175.7091828   15.5050449   2.64    99.0    0.001    3.45     14     0.0    0.0     1.08    1.58    0    
  555   175.6824363   15.5060087   0.85    99.0    0.166    3.29     81     0.0    0.0     0.0     0.0     0    
  557   175.6575152   15.5049293   0.85    99.0    0.166    3.66     80     0.0    0.0     0.0     0.0     0    
  563   175.651329    15.5046051   0.85    99.0    0.166    3.83     79     0.0    0.0     0.0     0.0     0    
  565   175.6546648   15.5045392   1.48    99.0    0.203    3.72     94     0.0    0.0     0.23    1.66    0    
  566   175.6552641   15.5045284   1.45    99.0    0.217    3.71     100    0.0    0.0     0.06    1.17    0    
  569   175.6693088   15.5044975   1.47    99.0    0.21     3.36     98     0.0    0.0     0.06    0.56    0    
  571   175.6856147   15.5040432   0.85    99.0    0.166    3.16     81     0.0    0.0     0.0     0.0     0    
  573   175.6784395   15.5044667   1.61    99.0    0.067    3.23     41     0.0    0.0     0.73    1.58    0    
  574   175.6533555   15.504487    0.85    99.0    0.166    3.76     79     0.0    0.0     0.0     0.0     0    
  578   175.6949749   15.5042691   0.84    26.95   0.183    3.2      286    0.0    0.06    0.54    0.0     0    
  580   175.7113208   15.5045101   1.43    99.0    0.221    3.46     102    0.0    0.0     0.0     0.83    0    
  582   175.7017513   15.5044215   0.85    99.0    0.166    3.28     81     0.0    0.0     0.0     0.0     0    
  583   175.6528372   15.5043064   1.43    99.0    0.22     3.77     101    0.0    0.0     0.0     0.07    0    
  584   175.6683257   15.5042522   0.85    99.0    0.166    3.37     81     0.0    0.0     0.0     0.0     0    
  587   175.6853465   15.5050131   1.67    99.0    0.021    3.22     23     0.0    0.0     0.41    0.7     0    
